INVOICE_ID,REQUISITION_NUMBER
1130243,10031
1238251,11295
1237296,11333
1237334,11320
1237335,11326
1239784,11334
1237336,11337
1237342,11341
1239794,11345
1240274,11382
1241265,1531
1242331,728
1239804,11389
1241252,729
1241250,1533
1242359,734
1242341,11421
1242342,11422
1241264,11434
1306285,12074
1298287,12082
1304315,12094
1304314,12102
1300255,12087
1300261,12112
1303268,794
1303269,795
1303276,383
1304276,12141
1303263,12145
1304263,12160
1304270,12168
1304252,12178
1304295,12187
1304298,12203
1304299,12204
1304320,387
1306286,12225
1312728,12226
1313977,12237
1311247,12244
1311258,1578
1311268,12249
1234262,314
1234266,11220
1234316,1521
1234318,1521
1234320,1521
1234405,1521
1234355,1521
1325785,12577
1325793,12580
1326766,12584
1326767,12585
1326079,1602
1326774,1602
1325842,1602
1325841,1602
1325840,1602
1325834,1602
1325827,1602
1325902,1602
1325891,1602
1325888,1602
1325877,1602
1325874,1602
1325862,1602
1325927,1602
1325920,1602
1326002,1602
1326000,1602
1325995,1602
1325992,1602
1325991,1602
1325984,1602
1325965,1602
1325957,1602
1318893,12426
1318834,12428
1318903,12433
1318840,1581
1318845,836
1318816,12475
1318818,12459
1318827,12471
1318901,12486
1320859,12497
1320860,12499
1320822,12506
1320826,12517
1320828,12520
1320847,12522
1320833,12527
1320834,12528
1321766,12545
1314775,12264
1313746,12283
1312722,12291
1317266,12304
1313981,12306
1314012,1580
1313741,12297
1313984,12299
1317278,818
1313734,12320
1330854,855
1330828,12764
1330800,12767
1330760,12791
1330269,12799
1330267,12803
1331759,12809
1325804,12614
1326057,12638
1326059,12643
1325781,12626
1360800,12910
1365774,12935
1033268,9206
1031246,9208
1031248,464
1031256,470
1030229,9218
1031258,9224
1031253,473
1033274,1376
1033247,9228
1033248,9229
1035253,1377
1034248,9244
1033246,9248
1035248,9300
1039477,475
1034260,9298
1336760,12821
1325949,1602
1325947,1602
1325935,1602
1326052,1602
1326033,1602
1326027,1602
1326025,1602
1326008,1602
1328798,1611
1328799,1612
1325774,12597
1375763,13118
1378760,13131
1378757,13136
1378758,13137
1314007,12342
1414450,1041
1414760,522
1414447,13776
1416031,1706
1347757,12841
1360798,12861
1359771,1636
1394306,13456
1394181,13457
1394334,13459
1394187,13474
1394311,13483
1394310,13488
1394325,13492
1394340,959
1394332,13499
1394333,13500
1397758,13494
1328762,12652
1330762,12655
1330786,12669
1328775,12674
1328778,12685
1328788,12696
1328782,12698
1330776,12713
1328805,429
1440824,14277
1440822,14288
1440892,14300
1440829,14302
1440891,14305
1440889,14306
1440898,1343
1446769,14309
1446770,14311
1446761,14316
1366908,13017
1366954,1651
1369771,1652
1369769,13041
1375759,13047
1370760,13054
1370764,13049
1371775,13057
1368760,902
1369770,13060
1369773,905
1369782,908
1369777,910
1369759,13079
1369764,13085
1371759,13103
1370762,13102
1371761,13104
1373760,13108
1372757,13111
1417778,13877
1417776,13879
1416765,13892
1416808,13889
1417771,13905
1417772,13906
1417760,13923
1417799,1711
1416809,13943
1420768,538
1421972,1112
1421064,13957
1421083,1114
1407032,13531
1407033,13532
1407038,13537
1401768,13537
1401767,13538
1399771,13540
1399773,13542
1406781,970
1408803,13560
1406768,13589
1406764,13591
1406786,13597
1407047,979
1408042,13604
1408051,13613
1408791,984
1408784,986
1408775,13637
1408787,990
1408799,13649
1505765,14597
1505766,1471
1505771,1472
1506870,14605
1506871,14607
1516766,14610
1518769,14632
1518767,14634
1518782,14636
1520000,591
1516786,1784
1380981,13143
1380983,13237
1382042,13265
1382052,13272
1380991,918
1382054,13285
1382056,483
1382128,13287
1382208,13293
1382127,13313
1386758,13330
1386757,13332
1387778,13349
1387780,13360
1387800,1675
1389759,13364
1387819,492
1387811,13372
1421093,14003
1421143,14027
1421103,14030
1421136,14035
1527916,14724
1527759,14736
1527758,14752
1527768,1529
1524892,14748
1527912,14766
1530766,14779
1530765,14781
1533766,14783
1411796,1015
1412759,13711
1414435,1018
1411797,1024
1414410,13748
1411801,13751
1414415,13733
1414433,1032
1466765,1366
1481772,14398
1479768,1372
1476793,14401
1476794,14402
1476796,14405
1481767,14411
1481774,14412
1482763,14424
1604936,15483
1607816,1899
1604924,1901
1604927,1905
1604914,15501
1604939,15502
1613086,15625
1613114,1981
1607392,1916
1607384,1902
1607380,15521
1604953,1931
1607810,1924
1607811,1935
1607425,1934
1607803,15534
1608771,1938
1608989,15545
1564775,15026
1563808,740
1563800,15034
1566767,15035
1566774,1676
1566784,1677
1566769,15044
1568772,1684
1570118,1692
1570116,15052
1570110,15055
1570111,15061
1570108,15065
1574012,1705
1574111,15086
1576767,15090
1582777,15100
1582770,15113
1609052,15570
1613926,15573
1613933,15576
1613056,15668
